Name of location,City/Municipality,Province,Region 
NATIONAL CENTER FOR MENTAL HEALTH,Mandaluyong City,Metro Manila,NCR
DR. JOSE FABELLA MEMORIAL HOSPITAL,Manila City,Metro Manila,NCR
OSPITAL NG MAKATI,Makati City ,Metro Manila,NCR
SAN LAZARO HOSPITAL,Manila City,Metro Manila,NCR
JOSE R. REYES MEMORIAL MEDICAL CENTER,Manila City,Metro Manila,NCR
OSPITAL NG MAYNILA MEDICAL CENTER,Manila City,Metro Manila,NCR
JUSTICE JOSE ABAD SANTOS GENERAL HOSPITAL,Manila City,Metro Manila,NCR
CHINESE GENERAL HOSPITAL AND MEDICAL CENTER,Manila City,Metro Manila,NCR
STA. ANA HOSPITAL,Manila City,Metro Manila,NCR
ARMY GENERAL HOSPITAL,Taguig City,Metro Manila,NCR
RESEARCH INSTITUTE FOR TROPICAL MEDICINE,Muntinlupa City,Metro Manila,NCR
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,Marikina City,Metro Manila,NCR
NEW BILIBID PRISON HOSPITAL,Muntinlupa City,Metro Manila,NCR
OSPITAL NG MUNTINLUPA,Muntinlupa City,Metro Manila,NCR
PASAY CITY GENERAL HOSPITAL,Pasay City,Metro Manila,NCR
SAN JUAN MEDICAL CENTER,San Juan City,Metro Manila,NCR
AIR FORCE GENERAL HOSPITAL,Pasay City,Metro Manila,NCR
PASIG CITY GENERAL HOSPITAL,Pasig City,Metro Manila,NCR
NATIONAL CHILDREN’S HOSPITAL,Quezon CIty,Metro Manila,NCR
St. Luke's Medical Center-Global City,Taguig City,Metro Manila,NCR
Lapu Lapu District Hospital,Cebu City,Cebu,VII
ORTIGAS HOSPITAL AND HEALTH CENTER,Pasig CIty,Metro Manila,NCR
LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER,Las Piñas City ,Metro Manila,NCR
UERM MEMORIAL MEDICAL CENTER,Quezon CIty,Metro Manila,NCR
PHILIPPINE HEART CENTER,Quezon City,Metro Manila,NCR
PHILIPPINE ORTHOPEDIC CENTER,Quezon City,Metro Manila,NCR
PERPETUAL SUCCOR HOSPITAL,Cebu City,Cebu,VII
ST. VINCENT GENERAL HOSPITAL,Cebu City,Cebu,VII
East Avenue Medical Center,Quezon City,Metro Manila,NCR
University of Santo Tomas Hospital,Manila City,Metro Manila,NCR
UP-Philippine General Hospital,Manila City,Metro Manila,NCR
VICTORIANO LUNA MEDICAL CENTER,Quezon City,Metro Manila,NCR
QUEZON CITY GENERAL HOSPITAL,Quezon City,Metro Manila,NCR
Cebu Doctors University Hospital,Cebu City,Cebu,VII
NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,Quezon City,Metro Manila,NCR
FEU NRMF HOSPITAL,Quezon City,Metro Manila,NCR
CEBU CITY MEDICAL CENTER,Cebu City,Cebu,VII
TAGUIG-PATEROS DISTRICT HOSPITAL,Taguig City,Metro Manila,NCR
VALENZUELA MEDICAL CENTER,Valenzuela City,Metro Manila,NCR
Cebu Velez General Hospital,Cebu City,Cebu,VII
LGU Muntinlupa City,Muntinlupa City,Metro Manila,NCR
LGU Valenzuela City,Valenzuela City,Metro Manila,NCR
LGU San Juan City,San Juan City,Metro Manila,NCR
Corazon Locsin Montelibano Memorial Regional Hospital,Bacolod City,Negros Occidental,VI
Don Salvador Benedicto Memorial Hospital,La Carlota City,Negros Occidental,VI
Valladolid District Hospital,Valladolid,Negros Occidental,VI
MACTAN DOCTORS HOSPITAL,Cebu City,Cebu,VII
Calamba City PNP,Calamba City,Laguna,IV-A
The Doctors Hospital,Bacolod City,Negros Occidental,VI
MILLER SANITARIUM AND HOSPITAL,Cebu City,Cebu,VII
DR. IGNACIO M. CORTES GENERAL HOSPITAL INC.,Cebu City,Cebu,VII
Thru HR Visayas,Cebu City,Cebu,VII
Teresita L. Jalandoni Provincial Hospital,Silay City,Negros Occidental,VI
SAINT ANTHONY MOTHER AND CHILD HOSPITAL,Cebu City,Cebu,VII
Ignacio L. Arroyo Memorial District Hospital,Isabela,Negros Occidental,VI
Pablo O. Torre Sr. Memorial Center,Bacolod City,Negros Occidental,VI
Lorenzo D. Zayco District Hospital,Kabankalan City,Negros Occidental,VI
VISAYAS COMMUNITY MEDICAL CENTER INC. ,Cebu City,Cebu,VII
Eversley Childs Sanitarium Martinian Br.,Cebu City,Cebu,VII
CEBU NORTH GENERAL HOSPITAL,Cebu City,Cebu,VII
Valeriano M. Gatuslao Memorial Hospital,Himamaylan City,Negros Occidental,VI
Cebu South General Hospital,Cebu City,Cebu,VII
Bacolod Our Lady of Mercy Specialty Hospital,Bacolod City,Negros Occidental,VI
Cadiz District Hospital,Cadiz City,Negros Occidental,VI
Adventist Medical Center Bacolod,Bacolod City,Negros Occidental,VI
LGU Paranaque City,Parañaque City,Metro Manila,NCR
LGU Makati City,Makati City ,Metro Manila,NCR
Brgy. Canlubang,Calamba City,Laguna,IV-A
Thru Corp Affairs,Manila City,Metro Manila,NCR
Paranaque Police Station Sub Station 6,Parañaque City,Metro Manila,NCR
Thru Commi HR,Manila City,Metro Manila,NCR
Marillac Hills - Alabang ,Muntinlupa City,Metro Manila,NCR
Kalinga Foundation and La Sallian Mission ,Manila City,Metro Manila,NCR
SPECS Foundation,Pasay City ,Metro Manila,NCR
St. Claire Church - Katipunan,Quezon City,Metro Manila,NCR
Pasig City Jail Male Dormitory,Pasig City ,Metro Manila,NCR
Art Relief Mobile Kitchen - Paranaque,Parañaque City,Metro Manila,NCR
Philippine Red Cross Paranaque City Branch,Parañaque City,Metro Manila,NCR
Bureau of Fire Protection - Manila,Manila City,Metro Manila,NCR
CBF Donation,Manila City,Metro Manila,NCR
Brgy. Majada,Calamba City,Laguna,IV-A
Don Bosco Canlubang,Calamba City,Laguna,IV-A
Brgy. Milagrosa,Calamba City,Laguna,IV-A
Brgy. Mayapa,Calamba City,Laguna,IV-A
Brgy. Paciano,Calamba City,Laguna,IV-A
Thru Commi HR,Calamba City,Laguna,IV-A
Diocese of Sorsogon / Caritas Sorsogon,Sorsogon City,Sorsogon,V
Veterans Memorial Medical Center,Quezon City,Metro Manila,NCR
Medical Center Paranaque,Parañaque City,Metro Manila,NCR
The Medical City,Pasig City ,Metro Manila,NCR
Ramos General Hospital,Tarlac City,Tarlac,III
SOS Children's Village ,Muntinlupa City,Metro Manila,NCR
South City Hospital and Medical Center,Bacoor City,Cavite,IV-A
Olivarez General Hospital,Parañaque City,Metro Manila,NCR
Ospital ng Paranaque,Parañaque City,Metro Manila,NCR
Las Pinas Doctors Hospital,Las Piñas City ,Metro Manila,NCR
Las Pinas City Medical Center,Las Piñas City ,Metro Manila,NCR
Central Luzon Doctor's Hospital,Tarlac City,Tarlac,III
Elsie Gaches Village ,Muntinlupa City,Metro Manila,NCR
Unihealth-Paranaque Hospital & Medical Center,Parañaque City,Metro Manila,NCR
Protacio Hospital,Pasay City,Metro Manila,NCR
Virlanie Foundation ,Makati City ,Metro Manila,NCR
Quirino Memorial Medical Center,Quezon City,Metro Manila,NCR
Art Relief Mobile Kitchen - Lipa,Lipa City,Batangas,IV-A
Binakayan Hospital and Medical Center,Kawit,Cavite,IV-A
Zamboanga City Police,Zamboanga City,Zamboanga del Sur,IX
St. Luke's Medical Center - QC,Quezon City,Metro Manila,NCR
University of the Philippines - Los Banos (UPLB),Los Baños,Laguna,IV-A
SNPP ,Lapu Lapu City,Cebu,VII
SNPP ,Cebu City,Cebu,VII
Brgy Maynaga,Polangui,Albay,V
Concepcion District Hospital,Concepcion,Tarlac,III
Dana Foundation ,Asuncion,Davao del Norte,XI
Iloilo Provincial Hospital,Pototan,Iloilo,VI
Lapaz Medicare Community Hospital,Lapaz,Tarlac,III
Gilbert Teodoro Memorial Hospital,Camiling,Tarlac,III
Enrique Henry M. Cojuangco Memorial Hospital,Moncada,Tarlac,III
West Visayas State University Medical Center,Iloilo City,Iloilo,VI
Western Visayas Medical Center,Iloilo City,Iloilo,VI
Western Visayas Sanitarium,Santa Barbara,Iloilo,VI
Talon General Hospital,Tarlac City,Tarlac,III
Jecsons Medical Center,Tarlac City,Tarlac,III
Local Government Unit of Iloilo City,Iloilo City,Iloilo,VI
Art Relief Mobile Kitchen ,Davao City ,Davao del Sur,XI
Cebu South General Hospital,Naga City,Cebu,VII
Eversley Childs Sanitarium Martinian Br.,Mandaue City,Cebu,VII
Lapu Lapu District Hospital,Lapu Lapu City,Cebu,VII
JR Borja General Hospital ,Cagayan De Oro City,Misamis Oriental,X
Zamboanga City Medical Center,Zamboanga City,Zamboanga del Sur,IX
SACRED HEART PRENOVITIATE,Quezon City,Metro Manila,NCR
TULONG SA KAPWA KAPATID FOUNDATION,Quezon City,Metro Manila,NCR
Merceditas Montilla District Hospital,Sipalay City,Negros Occidental,VI
Eleuterio T. Decena Memorial Hospital,Hinoba-an,Negros Occidental,VI
Calatrava District Hospital,Calatrava,Negros Occidental,VI
Vicente Gustilo District Hospital,Escalante City,Negros Occidental,VI
Bulacan Medical Center,Malolos City,Bulacan,III
LGU of Oton,Oton,Iloilo,VI
MANILA EAST MEDICAL CENTER,Taytay,Rizal,IV-A
Northern Mindanao Medical Center,Cagayan de Oro City,Misamis Oriental,X
Southern Philippines Medical Center,Davao City,Davao del Sur,XI
LAMAC MPC ,Pinamungajan,Cebu,VII
Laguna Medical Center ,Sta. Cruz City,Laguna,IV-A
Ramon D. Duremdes District Hospital,Dumangas,Iloilo,VI
ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,San Fernando City,La Union,I
DR. PAULINO J. GARCIA MEMORIAL RESEARCH AND MEDICAL CENTER,Cabanatuan City,Nueva Ecija,III
SAN PABLO DISTRICT HOSPITAL,San Pablo City,Laguna,IV-A
UPLB - University Health Service,Los Baños,Laguna,IV-A
Alice Food Services,Quezon City,Metro Manila,NCR
Don Bosco Technical Institute Tarlac,Tarlac City,Tarlac,III
REGION II TRAUMA AND MEDICAL CENTER,Bayombong,Nueva Vizcaya,II
Carlos Hilado Memorial State College,Talisay City,Negros Occidental,VI
Valenzuela Medical Center,Manila City,Metro Manila,NCR
Ospital ng Maynila,Manila City,Metro Manila,NCR
Armed Forces of the Philippines,Quezon City,Metro Manila,NCR
Carlos Hilado Memorial State College,Talisay City,Negros Occidental ,VI
Mandaue City District Hospital,Mandaue City,Cebu,VII
Baguio Medical Center,Baguio City,Benguet,CAR
Saint Louis Hospital,Baguio City,Benguet,CAR
Baguio General Hospital,Baguio City,Benguet,CAR
Aleosan District Hospital,Alimodian,Iloilo,VI
Ramon Tabiana Memorial District Hospital,Cabatuan,Iloilo,VI
Nueva Vizcaya Provincial Hospital,Bambang,Nueva Vizcaya,II
Cagayan de Oro Polymedic Plaza,Cagayan de Oro City,Misamis Oriental,X
Davao Regional Medical Center,Tagum,Davao del Norte,XI
Elsie Gaches Village,Muntinlupa City,Metro Manila,NCR
Eagles Nest Christian Academy,Urdaneta,Pangasinan,I
LGU - CCDO Office,San Jose City,Nueva Ecija,III
Art Relief Mobile Kitchen - Lipa,Lipa City,Batangas ,IV-A
Dr. Jose P. Rizal Memorial District Hospital,Calamba City,Laguna,IV-A
Bay District Hospital,Bay,Laguna,IV-A
San Pedro District Hospital,San Pedro City,Laguna,IV-A
Ospital ng Binan,Biñan,Laguna,IV-A
St. James Hospital,Sta. Rosa City,Laguna,IV-A
Jose B. Lingad Memorial General Hospital,City Of San Fernando,Pampanga,III
Pamisaupan Kapampangan,Bacolor,Pampanga,III
Rogaciano M. Mercado Memorial Hospital,Sta. Maria,Bulacan,III
Urdaneta District Hospital,Urdaneta,Pangasinan,I
Medina General Hospital ,Ozamiz City,Misamis Occidental,X
San Lorenzo Ruiz General Hospital,Malabon City,Metro Manila,NCR
Infant Jesus Hospital,Manila City,Metro Manila,NCR 
Capitol Medical Center,Quezon City,Metro Manila,NCR 
Adventist Hospital- Davao,Davao City,Davao Del Sur,XI
Dr. Jose N. Rodriguez Memorial Hospital,Caloocan City ,Metro Manila,NCR
Tondo General Hospital & Medical Center,Manila City,Metro Manila,NCR
Taytay Emergency Hospital,Taytay,Rizal,IV-A
Gat Andres Bonifacio Medical Center,Manila City,Metro Manila,NCR
Adventist Medical Center - Manila,Pasay City,Metro Manila,NCR
Ospital ng Sampaloc,Manila City,Metro Manila,NCR
Dr. Jorge P. Royeca City Hospital,General Santos City,South Cotabato,XII
Mayor Hilarion A. Ramiro Sr. Medical Center,Ozamiz City,Misamis Occidental,X
Bernardino General Hospital1 ,Quezon City,Metro Manila,NCR
Quezon Institute Tubercolosis Facility,Quezon City,Metro Manila,NCR
Ospital ng Imus,Imus,Cavite,IV-A
Imus Family Hospital,Imus,Cavite,IV-A
St. Martin de Porres Charity Hospital,San Juan City,Metro Manila,NCR
Marikina Valley Medical Center,Marikina City,Metro Manila,NCR
Laguna Medical Center,Sta. Cruz City,Laguna,IV-A
Sta. Rosa Community Hospital,Sta. Rosa City,Laguna,IV-A
Unihealth Southwoods Hospital,Biñan,Laguna,IV-A
Sta. Rosa Hospital and Medical Center,Sta. Rosa City,Laguna,IV-A
Guimba District Hospital,Guimba,Nueva Ecija,III
Guimba Community Hospital,Guimba,Nueva Ecija,III
Thru JWSL HR ,Parañaque City,Metro Manila ,NCR
Thru JWSL HR ,Calamba City,Laguna,IV-A
Thru JWSL HR ,Urdaneta,Pangasinan,III
Thru JWSL HR ,Marilao,Bulacan,III
Thru JWSL HR ,Taytay,Rizal,IV-A
Thru JWSL HR ,Pasig City,Metro Manila,NCR
Thru JWSL HR ,Parañaque City,Metro Manila,NCR
Novaliches District Hospital,Quezon City,Metro Manila,NCR
Art Relief Mobile Kitchen ,Lipa City,Batangas ,IV-A
LGU of Pasig City,Pasig City,Metro Manila,NCR
Los Banos Doctors Hospital,Los Baños,Laguna,IV-A
Rosario Maclang Bautista General Hospital,Quezon City,Metro Manila,NCR
Don Manuel Lopez Memorial District Hospital ,Balayan,Batangas,IV-A
Ospital ng Lungsod ng San Jose del Monte,San Jose del Monte,Bulacan,III
LGU of Sipalay City,Sipalay City,Negros Occidental,VI
Ospital ng Binan,Biñan,Laguna,IV-A 
St. James Hospital,Sta. Rosa City,Laguna,IV-A 
General Emilio Aguinaldo Memorial Hospital,Trece Martires,Cavite,IV-A 
Don Manuel Lopez Memorial District Hospital ,Balayan,Batangas,IV-A 
Navotas City Hospital (and Isolation facility for Ncov Patients),Navotas City,Metro Manila,NCR
Amosup Seamen's Hospital Intramuros,Manila City,Metro Manila,NCR
Universidad de Zamboanga Medical Center,Zamboanga City,Zamboanga del Sur,IX
Zamboanga Doctors Hospital,Zamboanga City,Zamboanga del Sur,IX
Rizal Medical Center,Pasig City,Metro Manila,NCR
JOSE S. LAPID DISTRICT HOSPITAL,Porac,Pampanga,III
FLORIDA BLANCA DOCTOR'S HOSPITAL INC.,Florida Blanca,Pampanga,III
Zenith,Calamba City,Laguna,IV-A 
Research Institute for Tropical Medicine ,Muntinlupa City,Metro Manila,NCR
Calalang General Hospital,Valenzuela City,Metro Manila,NCR
Davao Doctors Hospital,Davao City,Davao Del Sur,XI
San Pedro Hospital,Davao City,Davao Del Sur,XI
Pamisaupan Kapampangan,City of San Fernando,Pampanga,III
San Miguel District Hospital,San Miguel,Bulacan,III
Baliuag District Hospital,Baliuag,Bulacan,III
Ospital ng Malabon,Malabon City,Metro Manila,NCR
San Pedro District Hospital,San Pedro City,Laguna,IV-A 
Pacific Global Medical Center,Quezon City,Metro Manila,NCR
Pangasinan Provincial Hospital,San Carlos City,Pangasinan,I
Perpetual Help Medical Center Las Pinas,Las Piñas City ,Metro Manila,NCR
SOCSARGEN COUNTY HOSPITAL,General Santos City,South Cotabato,XII
UPLB University Health Service,Los Baños,Laguna,IV-A
Healthserv Los Banos Medical Center,Los Baños,Laguna,IV-A
San Lorenzo Ruiz General Hospital,Malabon,Metro Manila,NCR
Presidential Commission for the Urban Poor,Marikina City,Metro Manila,NCR
SPECS Foundation,Pasay City,Metro Manila ,NCR 
SPECS Foundation,Parañaque City ,Metro Manila ,NCR 
2KK Tulong sa Kapwa Kapatid Foundation,Manila City,Metro Manila ,NCR 
2KK Tulong sa Kapwa Kapatid Foundation,Parañaque City ,Metro Manila ,NCR 
2KK Tulong sa Kapwa Kapatid Foundation,Marikina City,Metro Manila ,NCR 
Eagles Nest Christian Academy,Sta. Barbara,Pangasinan,I 
"LGU of Sipalay City, Negros Occidental ",Sipalay City ,Negros Occidental ,VII
LAMAC Multi-Purpose Cooperative,Pinamungajan ,Cebu,VII
Dana Foundation ,Alabel,Sarangani,XII
"LGU of Sipalay City, Negros Occidental",Sipalay City ,Negros Occidental ,VII
LGU of Iloilo City,Iloilo City ,Iloilo,VI
Art Relief Mobile Kitchen,Los Baños,Laguna,IV-A
Zamboanga City Police Office,Zamboanga City ,Zamboanga del Sur,IX
Dana Foundation,Alabel,Sarangani,XII
Dana Foundation,Kapalong,Davao del Norte ,XI
Dana Foundation,Asuncion ,Davao del Norte ,XI
Kasilak Foundation/ LGU of Kidapawan City,Kidapawan City ,Cotabato ,XII
Caritas Naga,Naga City ,Camarines Sur ,V
AKAP Pamilya,Parañaque City ,Metro Manila ,NCR 
2KK Tulong sa Kapwa Kapatid Foundation,Antipolo City ,Rizal ,IV-A
2KK Tulong sa Kapwa Kapatid Foundation,Navotas City ,Metro Manila ,NCR 
St. Clement Parish ,Angono ,Rizal ,IV-A
Vincentian,Quezon City,Metro Manila ,NCR 
Virlanie Foundation,Makati City,Metro Manila ,NCR 
Elsie Gaches Village,Muntinlupa City ,Metro Manila ,NCR 
"Marillac Hills, Alabang",Muntinlupa City ,Metro Manila ,NCR 
Philippine Navy,Taguig City,Metro Manila ,NCR 
Philippine Navy,Manila City,Metro Manila ,NCR 
Philippine Navy,Quezon City,Metro Manila ,NCR 
Philippine Navy,Malabon City ,Metro Manila ,NCR 
Eagles Nest Christian Academy,Natividad ,Pangasinan,I
Eagles Nest Christian Academy,Balungao,Pangasinan,I
Eagles Nest Christian Academy,San Nicolas,Pangasinan,I
Eagles Nest Christian Academy,San Quintin,Pangasinan,I
Eagles Nest Christian Academy,Umingan,Pangasinan,I
Eagles Nest Christian Academy,Tayug,Pangasinan,I
Eagles Nest Christian Academy,Sta. Maria,Pangasinan,I
Eagles Nest Christian Academy,Urdaneta City,Pangasinan,I
Eagles Nest Christian Academy,Mapandan,Pangasinan,I
Eagles Nest Christian Academy,Anda,Pangasinan,I
Eagles Nest Christian Academy,Pozorrubio ,Pangasinan,I
Eagles Nest Christian Academy,Sta. Barbara,Pangasinan,I
Eagles Nest Christian Academy,San Fabian,Pangasinan,I
Eagles Nest Christian Academy,Calasiao,Pangasinan,I
Eagles Nest Christian Academy,Mangaldan,Pangasinan,I
Eagles Nest Christian Academy,Aguilar,Pangasinan,I
Eagles Nest Christian Academy,Dagupan City,Pangasinan,I
Eagles Nest Christian Academy,Binalonan,Pangasinan,I
Eagles Nest Christian Academy,San Carlos,Pangasinan,I
Eagles Nest Christian Academy,Malasiqui,Pangasinan,I
Alrose Foods Corporation ,Iligan City ,Lanao del Norte ,X
Society of St Vincent the Paul,Cagaya De Oro City,Misamis Occidental,X
Dana Foundation ,Alabel,Sarangani,XI
Alrose Foods Corporation ,Iligan City ,Lanao del Norte ,XI
Archdiocese of CDO - Social Action Center,Cagayan De Oro City,Misamis Occidental,XI
Archdiocese of CDO - Social Action Center,Cagayan De Oro City ,Misamis Occidental ,X
Dana Foundation ,Tagum City ,Davao del Norte ,XI
Dana Foundation ,Asuncion ,Davao del Norte ,XI
Dana Foundation ,Kapalong,Davao del Norte ,XI
Dana Foundation ,Banaybanay,Davao Oriental ,XI
"LGU of Sipalay City, Negros Occidental",Sipalay City ,Negros Occidental ,VI
"LGU of Sagay City, Negros Occidental",Sagay City ,Negros Occidental ,VI
Ospital ng Sampaloc,Sampaloc Manila,Metro Manila ,NCR 
Capitol Medical Center,Quezon Avenue Quezon City,Metro Manila ,NCR 
Ospital ng Maynila,Manila City,Metro Manila ,NCR 
Manila Medical  Center,Manila City,Metro Manila ,NCR 
Santissimo General Hospital,Valenzuela City,Metro Manila ,NCR 
Justice Jose Abad Santos General Hospital,Manila City,Metro Manila ,NCR 
Gat Andres Bonifacio Hospital,Manila City,Metro Manila ,NCR 
San Lazaro Hospital,Manila City,Metro Manila ,NCR 
Metropolitan Hospital,Manila City,Metro Manila ,NCR 
Valenzuela Medical City,Valnzuela City,Metro Manila ,NCR 
Valenzuela City Care Medical City,Valenzuela City,Metro Manila ,NCR 
Calalang General Hospital,Valenzuela City,Metro Manila ,NCR 
East Avenue Medical Center,Quezon City,Metro Manila ,NCR 
V Luna Hospital,Quezon City,Metro Manila ,NCR 
UST Hospital,Manila City,Metro Manila ,NCR 
Quirino Memorial Medical Center,Quezon City,Metro Manila ,NCR 
Jose Reyes Memorial Hospital,Manila City,Metro Manila ,NCR 
Mary Johnston Hospital,Manila City,Metro Manila ,NCR 
Nodado Hospital,Caloocan City,Metro Manila ,NCR 
Ospital ng Sampaloc Emergency and Internal Medicine Dept,Manila City,Metro Manila ,NCR 
Bernardino Hospital,Caloocan City,Metro Manila ,NCR 
Phil Heart Center - Nurse Department,Quezon City,Metro Manila ,NCR 
Camp Gen Emilio Aguinaldo Station,Quezon City,Metro Manila ,NCR 
Commonwealth Hospital,Quezon City,Metro Manila ,NCR 
National Center for Mental Health,Mandaluyong City,Metro Manila ,NCR 
Phil Heart Center - Surgical ICU & Pediatric Dept,Quezon City,Metro Manila ,NCR 
Manila Doctors Hospital,Manila City,Metro Manila ,NCR 
Allied Care Expert Medical City,Valenzuela City,Metro Manila ,NCR 
Valenzuela City Care Hospital - Ward Station,Valenzuela City,Metro Manila ,NCR 
Manila Medical Center - HR Department,Manila City,Metro Manila ,NCR 
Phil Childrens Medical Center - Nutrition and Dietician Dept,Quezon City,Metro Manila ,NCR 
National Center for Mental Health - Nursing Service Dept,Mandaluyomg City,Metro Manila ,NCR 
Urology Center - HR Department,Quezon City,Metro Manila ,NCR 
Mary Chiles Hospital,Manila City,Metro Manila ,NCR 
San Juan City Medical Center - Directors Office,San Juan City,Metro Manila ,NCR 
Phil Heart Center - Blood Bank Department,Quezon City,Metro Manila ,NCR 
Lung Center of the Philippines - Nurse Department,Quezon City,Metro Manila ,NCR 
San Lorenzo Hospital,Quezon City,Metro Manila ,NCR 
Hospital of Infant Jesus,Manila City,Metro Manila ,NCR 
Sta Ana Hospital,Manila City,Metro Manila ,NCR 
Philippine General Hospital,Manila City,Metro Manila ,NCR 
Dr. Jose Fabella Memorial Hospital,Manila  City,Metro Manila ,NCR 
